tp_pct,sl_pct,trades,win_rate,total_return,max_dd,profit_factor
10.0,10.0,24,75.0,191.7652,24.8843,3.2676
8.0,10.0,28,78.5714,181.8907,19.5029,3.0781
9.0,10.0,23,78.2609,175.8832,24.8843,3.4061
10.0,9.0,26,69.2308,153.7401,23.2039,2.3759
10.0,8.0,27,66.6667,151.2685,21.5049,2.3799
8.0,9.0,30,73.3333,145.1525,17.7021,2.278
8.0,8.0,31,70.9677,142.7646,15.8814,2.2799
8.0,4.0,42,54.7619,138.6578,18.3914,2.3844
9.0,9.0,25,72.0,137.2827,23.2039,2.3741
10.0,7.000000000000001,29,62.069,135.4734,19.7873,2.3092
9.0,8.0,26,69.2308,132.4091,21.5049,2.3464
8.0,5.0,39,58.9744,130.209,15.7136,2.1896
10.0,4.0,37,48.6486,129.4293,18.1916,2.2863
7.000000000000001,10.0,30,76.6667,119.807,27.7778,2.2727
8.0,7.000000000000001,34,64.7059,110.9285,14.0667,2.0073
8.0,6.0,38,60.5263,110.2679,19.2177,1.9679
10.0,5.0,35,51.4286,109.5655,16.447,2.0189
6.0,10.0,33,78.7879,109.0323,27.7778,2.1555
7.000000000000001,8.0,34,70.5882,106.4478,22.8496,1.9133
5.0,10.0,38,81.5789,105.3841,27.7778,2.1624
9.0,5.0,35,54.2857,103.9917,16.2964,1.9614
9.0,4.0,39,48.7179,102.3976,20.0865,2.0071
10.0,6.0,33,54.5455,102.1035,21.2793,1.946
9.0,7.000000000000001,29,62.069,99.7527,19.7873,2.0061
7.000000000000001,9.0,32,71.875,93.2864,25.3408,1.8196
7.000000000000001,4.0,47,53.1915,92.2021,19.8999,1.8572
7.000000000000001,3.0,54,46.2963,91.0416,16.8842,1.8344
7.000000000000001,5.0,43,58.1395,89.6928,18.2552,1.811
9.0,6.0,34,55.8824,86.3258,18.2472,1.7622
6.0,9.0,35,74.2857,83.8117,25.3408,1.7371
7.000000000000001,7.000000000000001,37,64.8649,81.3262,20.3889,1.7189
5.0,9.0,40,77.5,80.6036,25.7688,1.7386
4.0,10.0,46,82.6087,76.4668,27.7778,1.8475
8.0,3.0,51,41.1765,73.4375,23.2419,1.705
6.0,4.0,49,55.102,69.7369,18.9151,1.7029
7.000000000000001,6.0,42,59.5238,69.6291,19.0471,1.6065
9.0,3.0,48,37.5,63.9684,22.3411,1.6373
6.0,8.0,39,69.2308,63.6034,22.8496,1.5297
4.0,7.000000000000001,53,75.4717,63.5708,20.3036,1.5926
10.0,3.0,46,34.7826,60.7009,24.6569,1.6307
6.0,5.0,46,58.6957,58.6461,20.5293,1.547
6.0,7.000000000000001,41,65.8537,58.3787,20.3036,1.5253
4.0,9.0,48,79.1667,56.9053,25.3408,1.5423
4.0,4.0,61,63.9344,56.7289,19.1135,1.6022
6.0,3.0,61,45.9016,55.9386,21.0378,1.5006
4.0,5.0,57,68.4211,54.6708,19.0429,1.5502
9.0,1.0,79,18.9873,51.196,20.8026,1.7429
4.0,8.0,51,76.4706,51.0401,22.8496,1.4687
5.0,4.0,54,57.4074,51.028,23.2556,1.5488
5.0,5.0,48,62.5,48.7488,22.7607,1.5163
5.0,7.000000000000001,45,68.8889,47.2533,20.3036,1.4593
10.0,1.0,76,17.1053,46.0685,20.6292,1.7085
4.0,3.0,70,55.7143,45.6802,16.2375,1.4491
5.0,8.0,42,71.4286,45.2825,22.8496,1.4279
3.0,10.0,52,84.6154,43.2937,27.8,1.5622
6.0,6.0,45,60.0,40.3713,21.265,1.3684
8.0,1.0,81,19.7531,39.9374,20.6431,1.5965
7.000000000000001,2.0,69,31.8841,39.4681,16.063,1.4158
9.0,2.0,64,26.5625,38.3094,18.3492,1.404
6.0,1.0,96,23.9583,37.6133,17.0792,1.4923
10.0,2.0,61,24.5902,37.4794,26.173,1.4093
8.0,2.0,66,28.7879,37.1012,21.7967,1.4022
7.000000000000001,1.0,85,21.1765,33.6754,17.2118,1.5037
4.0,6.0,55,69.0909,33.3865,22.6484,1.3416
5.0,6.0,47,63.8298,33.0157,23.4758,1.3439
5.0,3.0,65,47.6923,32.6465,23.2551,1.3368
5.0,1.0,98,26.5306,28.6178,17.0792,1.4158
3.0,9.0,54,81.4815,27.4095,27.9202,1.3254
3.0,5.0,62,70.9677,21.123,20.9678,1.2804
6.0,2.0,80,32.5,20.2666,18.4707,1.2278
3.0,6.0,60,73.3333,15.6008,21.7499,1.2115
3.0,7.000000000000001,58,75.8621,14.5291,20.3281,1.1975
5.0,2.0,82,35.3659,10.3647,20.1309,1.1562
2.0,10.0,62,87.0968,10.3035,26.5528,1.2091
4.0,1.0,106,28.3019,10.0091,19.3407,1.2223
3.0,4.0,69,63.7681,7.5986,27.1305,1.1366
3.0,3.0,77,57.1429,6.6889,22.5445,1.1328
4.0,2.0,87,40.2299,6.3531,15.5343,1.1283
3.0,8.0,56,76.7857,5.6357,24.3749,1.1049
2.0,5.0,76,75.0,-7.115,22.3284,0.999
1.0,9.0,85,91.7647,-8.218,26.2694,0.9895
2.0,7.000000000000001,69,79.7101,-10.345,24.2067,0.9569
3.0,1.0,110,30.0,-12.0354,19.6823,0.9789
2.0,9.0,64,82.8125,-12.511,29.702,0.9294
3.0,2.0,94,43.617,-13.1351,22.4667,0.9585
1.0,10.0,85,91.7647,-14.1204,29.4676,0.8868
2.0,4.0,81,69.1358,-14.3378,24.8889,0.9277
2.0,6.0,72,76.3889,-15.1995,28.3106,0.9076
1.0,8.0,89,89.8876,-16.3927,23.8485,0.8721
2.0,8.0,67,80.597,-16.4938,29.4048,0.8923
2.0,3.0,89,61.7978,-19.2397,29.507,0.8821
1.0,3.0,106,77.3585,-20.8095,29.382,0.8293
1.0,5.0,96,84.375,-22.2528,30.0969,0.7973
1.0,7.000000000000001,93,87.0968,-26.8358,33.5099,0.7314
2.0,1.0,118,34.7458,-27.1039,29.0063,0.7794
2.0,2.0,103,49.5146,-29.5308,33.807,0.7841
1.0,4.0,103,79.6117,-29.587,35.2245,0.7136
1.0,6.0,96,84.375,-32.2637,39.0982,0.6734
1.0,1.0,126,46.8254,-37.1664,38.7523,0.5758
1.0,2.0,119,63.8655,-37.4968,40.0595,0.6318
